user_id,step,event_date
1,App Install,05-04-2026
1,Signup,06-04-2026
1,KYC Verification,08-04-2026
1,First Transaction,09-04-2026
1,Loan Application,18-04-2026
1,Loan Approved,23-04-2026
2,App Install,26-07-2026
3,App Install,29-04-2026
3,Signup,30-04-2026
3,KYC Verification,02-05-2026
3,First Transaction,05-05-2026
3,Loan Application,10-05-2026
4,App Install,10-06-2026
4,Signup,11-06-2026
4,KYC Verification,14-06-2026
4,First Transaction,19-06-2026
5,App Install,30-03-2026
5,Signup,01-04-2026
5,KYC Verification,03-04-2026
5,First Transaction,07-04-2026
5,Loan Application,19-04-2026
6,App Install,03-07-2026
7,App Install,07-05-2026
7,Signup,08-05-2026
8,App Install,11-05-2026
8,Signup,12-05-2026
9,App Install,17-06-2026
9,Signup,17-06-2026
10,App Install,06-06-2026
11,App Install,21-07-2026
11,Signup,22-07-2026
11,KYC Verification,22-07-2026
11,First Transaction,27-07-2026
11,Loan Application,02-08-2026
11,Loan Approved,07-08-2026
12,App Install,31-03-2026
12,Signup,02-04-2026
12,KYC Verification,02-04-2026
12,First Transaction,07-04-2026
13,App Install,14-07-2026
13,Signup,15-07-2026
13,KYC Verification,16-07-2026
14,App Install,04-05-2026
14,Signup,05-05-2026
15,App Install,31-05-2026
16,App Install,09-04-2026
16,Signup,09-04-2026
16,KYC Verification,10-04-2026
16,First Transaction,13-04-2026
17,App Install,08-03-2026
18,App Install,28-03-2026
18,Signup,30-03-2026
19,App Install,20-07-2026
19,Signup,21-07-2026
20,App Install,28-06-2026
20,Signup,29-06-2026
20,KYC Verification,30-06-2026
20,First Transaction,03-07-2026
21,App Install,07-06-2026
21,Signup,08-06-2026
22,App Install,08-07-2026
23,App Install,24-06-2026
24,App Install,01-05-2026
24,Signup,03-05-2026
24,KYC Verification,04-05-2026
24,First Transaction,09-05-2026
24,Loan Application,12-05-2026
24,Loan Approved,18-05-2026
25,App Install,03-07-2026
25,Signup,04-07-2026
25,KYC Verification,06-07-2026
26,App Install,13-03-2026
26,Signup,13-03-2026
26,KYC Verification,15-03-2026
26,First Transaction,19-03-2026
26,Loan Application,02-04-2026
26,Loan Approved,09-04-2026
27,App Install,19-05-2026
27,Signup,19-05-2026
27,KYC Verification,22-05-2026
27,First Transaction,24-05-2026
27,Loan Application,05-06-2026
28,App Install,09-04-2026
28,Signup,11-04-2026
29,App Install,21-07-2026
29,Signup,21-07-2026
29,KYC Verification,23-07-2026
29,First Transaction,25-07-2026
30,App Install,17-06-2026
30,Signup,19-06-2026
30,KYC Verification,21-06-2026
30,First Transaction,22-06-2026
31,App Install,04-03-2026
31,Signup,04-03-2026
32,App Install,31-07-2026
32,Signup,02-08-2026
32,KYC Verification,04-08-2026
32,First Transaction,09-08-2026
33,App Install,01-05-2026
33,Signup,01-05-2026
33,KYC Verification,04-05-2026
33,First Transaction,08-05-2026
33,Loan Application,12-05-2026
33,Loan Approved,15-05-2026
34,App Install,09-05-2026
34,Signup,10-05-2026
34,KYC Verification,11-05-2026
35,App Install,29-05-2026
35,Signup,31-05-2026
35,KYC Verification,01-06-2026
35,First Transaction,05-06-2026
36,App Install,22-04-2026
36,Signup,23-04-2026
36,KYC Verification,25-04-2026
36,First Transaction,30-04-2026
37,App Install,10-05-2026
37,Signup,12-05-2026
37,KYC Verification,12-05-2026
37,First Transaction,15-05-2026
38,App Install,05-07-2026
38,Signup,06-07-2026
38,KYC Verification,07-07-2026
39,App Install,15-07-2026
40,App Install,18-03-2026
40,Signup,19-03-2026
41,App Install,05-05-2026
41,Signup,05-05-2026
42,App Install,10-05-2026
42,Signup,11-05-2026
43,App Install,03-04-2026
44,App Install,14-07-2026
45,App Install,15-05-2026
46,App Install,10-06-2026
46,Signup,11-06-2026
46,KYC Verification,14-06-2026
46,First Transaction,17-06-2026
47,App Install,30-03-2026
47,Signup,30-03-2026
47,KYC Verification,02-04-2026
47,First Transaction,04-04-2026
48,App Install,10-05-2026
49,App Install,31-07-2026
49,Signup,31-07-2026
49,KYC Verification,01-08-2026
50,App Install,10-05-2026
51,App Install,03-04-2026
51,Signup,03-04-2026
51,KYC Verification,03-04-2026
51,First Transaction,04-04-2026
51,Loan Application,11-04-2026
51,Loan Approved,17-04-2026
52,App Install,06-06-2026
52,Signup,08-06-2026
52,KYC Verification,10-06-2026
52,First Transaction,11-06-2026
53,App Install,24-03-2026
53,Signup,26-03-2026
53,KYC Verification,27-03-2026
53,First Transaction,01-04-2026
54,App Install,08-05-2026
54,Signup,09-05-2026
55,App Install,21-03-2026
55,Signup,22-03-2026
55,KYC Verification,24-03-2026
55,First Transaction,26-03-2026
56,App Install,10-06-2026
56,Signup,11-06-2026
57,App Install,13-07-2026
57,Signup,13-07-2026
58,App Install,30-04-2026
58,Signup,30-04-2026
58,KYC Verification,01-05-2026
59,App Install,10-03-2026
59,Signup,10-03-2026
59,KYC Verification,11-03-2026
59,First Transaction,16-03-2026
59,Loan Application,26-03-2026
59,Loan Approved,02-04-2026
60,App Install,25-05-2026
60,Signup,26-05-2026
61,App Install,13-07-2026
61,Signup,14-07-2026
61,KYC Verification,14-07-2026
61,First Transaction,16-07-2026
62,App Install,26-05-2026
62,Signup,27-05-2026
62,KYC Verification,28-05-2026
63,App Install,27-06-2026
64,App Install,05-04-2026
64,Signup,06-04-2026
65,App Install,07-04-2026
65,Signup,08-04-2026
66,App Install,14-05-2026
66,Signup,15-05-2026
66,KYC Verification,17-05-2026
66,First Transaction,18-05-2026
67,App Install,18-07-2026
67,Signup,19-07-2026
68,App Install,20-05-2026
68,Signup,21-05-2026
68,KYC Verification,22-05-2026
68,First Transaction,24-05-2026
68,Loan Application,07-06-2026
69,App Install,22-05-2026
69,Signup,23-05-2026
69,KYC Verification,26-05-2026
69,First Transaction,30-05-2026
69,Loan Application,07-06-2026
69,Loan Approved,08-06-2026
70,App Install,01-06-2026
71,App Install,04-06-2026
71,Signup,06-06-2026
71,KYC Verification,08-06-2026
71,First Transaction,11-06-2026
71,Loan Application,13-06-2026
71,Loan Approved,15-06-2026
72,App Install,28-05-2026
72,Signup,28-05-2026
73,App Install,10-06-2026
73,Signup,11-06-2026
74,App Install,17-05-2026
74,Signup,19-05-2026
74,KYC Verification,21-05-2026
75,App Install,23-04-2026
75,Signup,25-04-2026
75,KYC Verification,28-04-2026
75,First Transaction,01-05-2026
76,App Install,07-06-2026
76,Signup,08-06-2026
76,KYC Verification,10-06-2026
76,First Transaction,12-06-2026
77,App Install,04-04-2026
78,App Install,01-06-2026
78,Signup,02-06-2026
78,KYC Verification,05-06-2026
78,First Transaction,10-06-2026
79,App Install,23-05-2026
79,Signup,25-05-2026
80,App Install,14-03-2026
80,Signup,16-03-2026
81,App Install,26-06-2026
81,Signup,27-06-2026
82,App Install,21-05-2026
82,Signup,23-05-2026
82,KYC Verification,24-05-2026
82,First Transaction,29-05-2026
83,App Install,13-03-2026
83,Signup,14-03-2026
83,KYC Verification,16-03-2026
83,First Transaction,20-03-2026
83,Loan Application,02-04-2026
83,Loan Approved,07-04-2026
84,App Install,14-05-2026
84,Signup,15-05-2026
85,App Install,18-06-2026
85,Signup,19-06-2026
85,KYC Verification,20-06-2026
86,App Install,12-06-2026
87,App Install,03-06-2026
87,Signup,04-06-2026
87,KYC Verification,06-06-2026
88,App Install,25-07-2026
88,Signup,26-07-2026
89,App Install,22-07-2026
89,Signup,23-07-2026
90,App Install,29-06-2026
90,Signup,29-06-2026
91,App Install,31-03-2026
92,App Install,06-03-2026
