user_id,channel,city_tier,device,ab_group,install_date
1,Referral,Tier 1,Android,Control,2026-04-05
2,Affiliate,Tier 1,Android,Variant_B,2026-07-26
3,Organic,Tier 1,Android,Control,2026-04-29
4,Referral,Tier 2,Android,Variant_B,2026-06-10
5,Referral,Tier 2,Android,Control,2026-03-30
6,Organic,Tier 3,iOS,Control,2026-07-03
7,Referral,Tier 1,Android,Control,2026-05-07
8,Organic,Tier 1,Android,Control,2026-05-11
9,Organic,Tier 1,Android,Control,2026-06-17
10,Paid Social,Tier 3,iOS,Control,2026-06-06
11,Organic,Tier 2,Android,Variant_B,2026-07-21
12,Organic,Tier 1,iOS,Variant_B,2026-03-31
13,Organic,Tier 1,Android,Variant_B,2026-07-14
14,Organic,Tier 2,Android,Variant_B,2026-05-04
15,Paid Social,Tier 3,iOS,Control,2026-05-31
16,Referral,Tier 1,Android,Variant_B,2026-04-09
17,Paid Social,Tier 2,Android,Variant_B,2026-03-08
18,Organic,Tier 2,iOS,Control,2026-03-28
19,Referral,Tier 2,Android,Variant_B,2026-07-20
20,Organic,Tier 1,Android,Variant_B,2026-06-28
21,Google Ads,Tier 1,Android,Control,2026-06-07
22,Referral,Tier 3,Android,Variant_B,2026-07-08
23,Referral,Tier 3,Android,Variant_B,2026-06-24
24,Google Ads,Tier 1,Android,Variant_B,2026-05-01
25,Google Ads,Tier 2,Android,Control,2026-07-03
26,Organic,Tier 1,iOS,Control,2026-03-13
27,Referral,Tier 2,Android,Control,2026-05-19
28,Paid Social,Tier 1,iOS,Variant_B,2026-04-09
29,Paid Social,Tier 3,Android,Variant_B,2026-07-21
30,Paid Social,Tier 2,Android,Variant_B,2026-06-17
31,Google Ads,Tier 1,Android,Variant_B,2026-03-04
32,Paid Social,Tier 3,Android,Variant_B,2026-07-31
33,Organic,Tier 1,Android,Control,2026-05-01
34,Organic,Tier 1,Android,Variant_B,2026-05-09
35,Paid Social,Tier 3,iOS,Variant_B,2026-05-29
36,Paid Social,Tier 2,Android,Control,2026-04-22
37,Referral,Tier 2,Android,Control,2026-05-10
38,Affiliate,Tier 1,iOS,Control,2026-07-05
39,Paid Social,Tier 2,Android,Variant_B,2026-07-15
40,Referral,Tier 3,Android,Control,2026-03-18
41,Organic,Tier 3,Android,Variant_B,2026-05-05
42,Google Ads,Tier 1,iOS,Variant_B,2026-05-10
43,Organic,Tier 2,Android,Variant_B,2026-04-03
44,Paid Social,Tier 1,Android,Variant_B,2026-07-14
45,Google Ads,Tier 1,iOS,Variant_B,2026-05-15
46,Paid Social,Tier 1,Android,Control,2026-06-10
47,Google Ads,Tier 3,Android,Variant_B,2026-03-30
48,Referral,Tier 3,Android,Variant_B,2026-05-10
49,Affiliate,Tier 3,Android,Control,2026-07-31
50,Organic,Tier 2,iOS,Control,2026-05-10
51,Referral,Tier 2,Android,Control,2026-04-03
52,Paid Social,Tier 1,Android,Variant_B,2026-06-06
53,Organic,Tier 3,Android,Control,2026-03-24
54,Paid Social,Tier 2,Android,Control,2026-05-08
55,Google Ads,Tier 1,Android,Control,2026-03-21
56,Referral,Tier 3,iOS,Control,2026-06-10
57,Organic,Tier 3,Android,Variant_B,2026-07-13
58,Paid Social,Tier 3,Android,Control,2026-04-30
59,Organic,Tier 2,Android,Variant_B,2026-03-10
60,Affiliate,Tier 1,Android,Control,2026-05-25
61,Paid Social,Tier 1,iOS,Control,2026-07-13
62,Referral,Tier 2,Android,Control,2026-05-26
63,Paid Social,Tier 3,Android,Variant_B,2026-06-27
64,Referral,Tier 1,Android,Control,2026-04-05
65,Organic,Tier 3,iOS,Variant_B,2026-04-07
66,Organic,Tier 2,Android,Control,2026-05-14
67,Referral,Tier 2,Android,Variant_B,2026-07-18
68,Organic,Tier 1,iOS,Control,2026-05-20
69,Organic,Tier 2,iOS,Variant_B,2026-05-22
70,Paid Social,Tier 1,Android,Variant_B,2026-06-01
71,Organic,Tier 1,Android,Variant_B,2026-06-04
72,Google Ads,Tier 1,Android,Variant_B,2026-05-28
73,Referral,Tier 2,Android,Variant_B,2026-06-10
74,Affiliate,Tier 1,Android,Control,2026-05-17
75,Google Ads,Tier 1,Android,Variant_B,2026-04-23
76,Organic,Tier 1,Android,Variant_B,2026-06-07
77,Paid Social,Tier 2,iOS,Variant_B,2026-04-04
78,Google Ads,Tier 1,Android,Control,2026-06-01
79,Paid Social,Tier 2,Android,Control,2026-05-23
80,Organic,Tier 2,iOS,Control,2026-03-14
